,date,MODE,RIDERSHIP,COUNTOFDATES,AVG_RIDERSHIP,ROUTE_OR_LINE
0,2018-03-01,Bus,7106920.0,22,323041.81818182,Bus
1,2018-03-01,Bus,688735.0,22,31306.136363636,Silver Line
2,2018-03-01,Rail,1439091.7083198,22,65413.259469084005,Blue Line
3,2018-03-01,Rail,3400248.6511967997,22,154556.75687258,Green Line
4,2018-03-01,Rail,4220321.2823445,22,191832.78556111,Orange Line
5,2018-03-01,Rail,5013454.9390772,22,227884.3154126,Red Line
0,2018-02-01,Bus,6530541.0,19,343712.68421053,Bus
1,2018-02-01,Bus,598649.0,19,31507.842105262996,Silver Line
2,2018-02-01,Rail,1321299.8572038,19,69542.097747571,Blue Line
3,2018-02-01,Rail,3194840.301078,19,168149.48953042,Green Line
4,2018-02-01,Rail,3938019.286213,19,207264.17295858,Orange Line
5,2018-02-01,Rail,4613903.0991142,19,242837.00521654,Red Line
0,2016-04-01,Bus,6231752.0,16,389484.5,Bus
1,2016-04-01,Bus,650905.0,16,40681.5625,Silver Line
2,2016-04-01,Rail,1511914.6300515,21,71995.934764358,Blue Line
3,2016-04-01,Rail,4223658.316549201,21,201126.58650234,Green Line
4,2016-04-01,Rail,4680719.2647063,21,222891.39355744,Orange Line
5,2016-04-01,Rail,5573282.221215701,21,265394.39148646,Red Line
0,2017-07-01,Bus,6928956.0,21,329950.28571429,Bus
1,2017-07-01,Bus,760559.0,21,36217.095238095,Silver Line
2,2017-07-01,Rail,1513658.8619415,20,75682.943097076,Blue Line
3,2017-07-01,Rail,3444647.698158,20,172232.3849079,Green Line
4,2017-07-01,Rail,4101198.9621185,20,205059.94810593,Orange Line
5,2017-07-01,Rail,5169111.5014632,20,258455.57507316,Red Line
0,2018-12-01,Bus,6384923.0,20,319246.15,Bus
1,2018-12-01,Bus,671649.0,20,33582.45,Silver Line
2,2018-12-01,Rail,1303504.2729308,20,65175.21364654,Blue Line
3,2018-12-01,Rail,2791419.5198267996,20,139570.97599134,Green Line
4,2018-12-01,Rail,3687112.5058062994,20,184355.62529031,Orange Line
5,2018-12-01,Rail,4360666.9616259,20,218033.34808129,Red Line
0,2017-05-01,Bus,7943646.0,22,361074.81818182,Bus
1,2017-05-01,Bus,777613.0,22,35346.045454545,Silver Line
2,2017-05-01,Rail,1597468.3725049999,22,72612.198750229,Blue Line
3,2017-05-01,Rail,3855003.8906572997,22,175227.44957533,Green Line
4,2017-05-01,Rail,4698524.686621499,22,213569.30393734,Orange Line
5,2017-05-01,Rail,5760640.576709299,22,261847.29894133,Red Line
0,2016-11-01,Bus,7403080.0,20,370154.0,Bus
1,2016-11-01,Bus,683466.0,20,34173.3,Silver Line
2,2016-11-01,Rail,1486292.5532415002,21,70775.83586864099,Blue Line
3,2016-11-01,Rail,3831723.2520156,21,182463.01200074,Green Line
4,2016-11-01,Rail,4497805.0577321,21,214181.19322534,Orange Line
5,2016-11-01,Rail,5413230.643993599,21,257772.88780922,Red Line
0,2016-01-01,Bus,6985521.0,19,367659.0,Bus
1,2016-01-01,Bus,669761.0,19,35250.578947368,Silver Line
2,2016-01-01,Rail,1142849.9224885001,19,60149.995920447,Blue Line
3,2016-01-01,Rail,3366005.2383017,19,177158.17043693,Green Line
4,2016-01-01,Rail,4110859.3912262,19,216361.02059085,Orange Line
5,2016-01-01,Rail,4738658.2382415,19,249403.0651706,Red Line
0,2017-06-01,Bus,7767120.0,22,353050.90909091,Bus
1,2017-06-01,Bus,766039.0,22,34819.954545455,Silver Line
2,2017-06-01,Rail,1685818.9686293998,22,76628.1349377,Blue Line
3,2017-06-01,Rail,3958035.2943877,22,179910.69519944,Green Line
4,2017-06-01,Rail,4714242.8816647995,22,214283.7673484,Orange Line
5,2017-06-01,Rail,5773775.1689752,22,262444.32586251,Red Line
0,2017-12-01,Bus,6378157.0,20,318907.85,Bus
1,2017-12-01,Bus,612363.0,20,30618.15,Silver Line
2,2017-12-01,Rail,1331911.5340622,20,66595.576703108,Blue Line
3,2017-12-01,Rail,3102457.9478773,20,155122.89739386,Green Line
4,2017-12-01,Rail,3832255.3936127,20,191612.76968063,Orange Line
5,2017-12-01,Rail,4548600.276828299,20,227430.01384141,Red Line
0,2018-07-01,Bus,7008062.0,21,333717.23809524,Bus
1,2018-07-01,Bus,802131.0,21,38196.714285714,Silver Line
2,2018-07-01,Rail,1627208.4815592,21,77486.118169486,Blue Line
3,2018-07-01,Rail,3474896.2348261,21,165471.24927743,Green Line
4,2018-07-01,Rail,4280099.741093,21,203814.27338538,Orange Line
5,2018-07-01,Rail,5254526.6733137,21,250215.55587208,Red Line
0,2019-04-01,Bus,7708007.0,22,350363.95454545,Bus
1,2019-04-01,Bus,836933.0,22,38042.409090909,Silver Line
2,2019-04-01,Rail,1637314.9592758,22,74423.407239807,Blue Line
3,2019-04-01,Rail,3612424.9755166,22,164201.13525075,Green Line
4,2019-04-01,Rail,4630013.0086010005,22,210455.13675459,Orange Line
5,2019-04-01,Rail,5524510.863638599,22,251114.13016539,Red Line
0,2016-09-01,Bus,8186778.0,21,389846.57142857,Bus
1,2016-09-01,Bus,724110.0,21,34481.428571429,Silver Line
2,2016-09-01,Rail,1576200.7998119,21,75057.180943422,Blue Line
3,2016-09-01,Rail,4076521.1035681,21,194120.05255086,Green Line
4,2016-09-01,Rail,4702395.0904202005,21,223923.57573429,Orange Line
5,2016-09-01,Rail,5702668.0359234,21,271555.62075826,Red Line
0,2017-02-01,Bus,6320900.0,19,332678.94736842,Bus
1,2017-02-01,Bus,603358.0,19,31755.684210526,Silver Line
2,2017-02-01,Rail,1253563.7581628999,19,65977.039903311,Blue Line
3,2017-02-01,Rail,3335245.8862955,19,175539.25717345,Green Line
4,2017-02-01,Rail,3887140.8781467993,19,204586.36200772,Orange Line
5,2017-02-01,Rail,4696803.3318979,19,247200.17536305,Red Line
0,2016-10-01,Bus,7676816.0,20,383840.8,Bus
1,2016-10-01,Bus,715177.0,20,35758.85,Silver Line
2,2016-10-01,Rail,1550148.8191328999,21,73816.610434898,Blue Line
3,2016-10-01,Rail,4029136.1528586,21,191863.6263266,Green Line
4,2016-10-01,Rail,4651161.413790701,21,221483.87684717,Orange Line
5,2016-10-01,Rail,5657270.9900785005,21,269393.8566704,Red Line
0,2017-03-01,Bus,7823065.0,23,340133.26086957,Bus
1,2017-03-01,Bus,770216.0,23,33487.652173913,Silver Line
2,2017-03-01,Rail,1542034.8006275,23,67044.99133163,Blue Line
3,2017-03-01,Rail,4010220.7130173,23,174357.42230510002,Green Line
4,2017-03-01,Rail,4735889.0130499,23,205908.21795869,Orange Line
5,2017-03-01,Rail,5750523.4060881,23,250022.75678644,Red Line
0,2016-08-01,Bus,8052127.0,23,350092.47826087,Bus
1,2016-08-01,Bus,823347.0,23,35797.695652174,Silver Line
2,2016-08-01,Rail,1666468.1085008,23,72455.135152207,Blue Line
3,2016-08-01,Rail,4003896.5416920995,23,174082.45833444,Green Line
4,2016-08-01,Rail,4692482.1816945,23,204020.9644215,Orange Line
5,2016-08-01,Rail,5774631.6592367,23,251070.94170594,Red Line
0,2018-06-01,Bus,7206071.0,21,343146.23809524,Bus
1,2018-06-01,Bus,784891.0,21,37375.761904762,Silver Line
2,2018-06-01,Rail,1640592.125505,21,78123.43454785799,Blue Line
3,2018-06-01,Rail,3529725.4021154,21,168082.1620055,Green Line
4,2018-06-01,Rail,4476038.2266110005,21,213144.67745767,Orange Line
5,2018-06-01,Rail,5357089.9383751,21,255099.520875,Red Line
0,2019-01-01,Bus,7113916.0,21,338757.9047619,Bus
1,2019-01-01,Bus,741310.0,21,35300.476190476,Silver Line
2,2019-01-01,Rail,1424882.3626309999,21,67851.541077665,Blue Line
3,2019-01-01,Rail,3174659.7582641,21,151174.27420305,Green Line
4,2019-01-01,Rail,4139276.4657513,21,197108.40313102,Orange Line
5,2019-01-01,Rail,4905057.2319393,21,233574.15390187,Red Line
0,2018-05-01,Bus,7799971.0,22,354544.13636364,Bus
1,2018-05-01,Bus,817297.0,22,37149.863636363996,Silver Line
2,2018-05-01,Rail,1695055.2427876,22,77047.965581254,Blue Line
3,2018-05-01,Rail,3724258.7870306,22,169284.49031957,Green Line
4,2018-05-01,Rail,4722396.676709599,22,214654.39439589,Orange Line
5,2018-05-01,Rail,5652071.6693818,22,256912.34860826,Red Line
0,2016-05-01,Bus,8092982.0,21,385380.0952381,Bus
1,2016-05-01,Bus,783259.0,21,37298.047619048,Silver Line
2,2016-05-01,Rail,1518062.6139293,21,72288.695901394,Blue Line
3,2016-05-01,Rail,3933571.3261639997,21,187312.92029352,Green Line
4,2016-05-01,Rail,4628636.3103883,21,220411.25287563,Orange Line
5,2016-05-01,Rail,5546573.3373487,21,264122.53987375,Red Line
0,2017-01-01,Bus,6857420.0,20,342871.0,Bus
1,2017-01-01,Bus,668607.0,20,33430.35,Silver Line
2,2017-01-01,Rail,1333203.4332203001,20,66660.171661014,Blue Line
3,2017-01-01,Rail,3368738.009044,20,168436.9004522,Green Line
4,2017-01-01,Rail,4153220.5686644,20,207661.02843322,Orange Line
5,2017-01-01,Rail,4935365.672039,20,246768.28360195,Red Line
0,2017-11-01,Bus,7322113.0,21,348672.04761905,Bus
1,2017-11-01,Bus,689488.0,21,32832.761904762,Silver Line
2,2017-11-01,Rail,1522572.3798431999,21,72503.4466592,Blue Line
3,2017-11-01,Rail,3668262.2516687997,21,174679.15484137,Green Line
4,2017-11-01,Rail,4450207.884646701,21,211914.66117365,Orange Line
5,2017-11-01,Rail,5390728.9754123,21,256701.37978154,Red Line
0,2016-06-01,Bus,8606097.0,22,391186.22727273,Bus
1,2016-06-01,Bus,845464.0,22,38430.181818182005,Silver Line
2,2016-06-01,Rail,1660877.0057384,22,75494.409351744,Blue Line
3,2016-06-01,Rail,4144063.02731,22,188366.50124136,Green Line
4,2016-06-01,Rail,4860702.6871558,22,220941.03123435,Orange Line
5,2016-06-01,Rail,5881456.1115131,22,267338.91415969,Red Line
0,2018-10-01,Bus,8499768.0,23,369555.13043478,Bus
1,2018-10-01,Bus,891404.0,23,38756.695652174,Silver Line
2,2018-10-01,Rail,1787942.3398903,23,77736.623473493,Blue Line
3,2018-10-01,Rail,4139791.1984912003,23,179990.92167353,Green Line
4,2018-10-01,Rail,5073457.9716665,23,220585.12920289,Orange Line
5,2018-10-01,Rail,6113155.5589837,23,265789.37212972,Red Line
0,2019-03-01,Bus,7376771.0,21,351274.80952381,Bus
1,2019-03-01,Bus,800477.0,21,38117.952380952,Silver Line
2,2019-03-01,Rail,1470128.9465513001,21,70006.140311966,Blue Line
3,2019-03-01,Rail,3301698.0400953,21,157223.71619502,Green Line
4,2019-03-01,Rail,4280517.0341921,21,203834.14448534,Orange Line
5,2019-03-01,Rail,5149664.3476618,21,245222.11179342,Red Line
0,2018-08-01,Bus,7636133.0,23,332005.7826087,Bus
1,2018-08-01,Bus,872511.0,23,37935.260869565,Silver Line
2,2018-08-01,Rail,1699190.5345254,23,73877.849327191,Blue Line
3,2018-08-01,Rail,3622935.3238897,23,157518.92712564,Green Line
4,2018-08-01,Rail,4535369.9231761,23,197189.99665983,Orange Line
5,2018-08-01,Rail,5567712.848775701,23,242074.47168589997,Red Line
0,2018-09-01,Bus,7012630.0,19,369085.78947368,Bus
1,2018-09-01,Bus,712608.0,19,37505.684210526,Silver Line
2,2018-09-01,Rail,1464679.496459,19,77088.394550474,Blue Line
3,2018-09-01,Rail,3358296.840079,19,176752.46526731,Green Line
4,2018-09-01,Rail,4119433.6501039,19,216812.29737389,Orange Line
5,2018-09-01,Rail,4982450.0071252,19,262234.21090132,Red Line
0,2017-04-01,Bus,6911721.0,20,345586.05,Bus
1,2017-04-01,Bus,681787.0,20,34089.35,Silver Line
2,2017-04-01,Rail,1457503.0499145,20,72875.152495727,Blue Line
3,2017-04-01,Rail,3806254.0775363,20,190312.70387681,Green Line
4,2017-04-01,Rail,4311548.240781,20,215577.41203905,Orange Line
5,2017-04-01,Rail,5273278.5125387,20,263663.92562694,Red Line
0,2019-02-01,Bus,6557817.0,19,345148.26315789,Bus
1,2019-02-01,Bus,664304.0,19,34963.368421053,Silver Line
2,2019-02-01,Rail,1325108.7715302,19,69742.566922645,Blue Line
3,2019-02-01,Rail,3084859.198934,19,162361.01047021,Green Line
4,2019-02-01,Rail,3869536.7099822997,19,203659.82684117,Orange Line
5,2019-02-01,Rail,4695638.3573284,19,247138.86091202,Red Line
0,2016-07-01,Bus,7105389.0,20,355269.45,Bus
1,2016-07-01,Bus,744914.0,20,37245.7,Silver Line
2,2016-07-01,Rail,1509610.2448804,20,75480.512244019,Blue Line
3,2016-07-01,Rail,3721467.7775537004,20,186073.38887769,Green Line
4,2016-07-01,Rail,4233094.8607831,20,211654.74303916,Orange Line
5,2016-07-01,Rail,5270208.4405326,20,263510.42202663,Red Line
0,2018-11-01,Bus,7345316.0,21,349776.95238095,Bus
1,2018-11-01,Bus,812104.0,21,38671.619047619,Silver Line
2,2018-11-01,Rail,1499144.9049276002,21,71387.8526156,Blue Line
3,2018-11-01,Rail,3291645.9705042997,21,156745.04621449,Green Line
4,2018-11-01,Rail,4337261.4559046,21,206536.25980498,Orange Line
5,2018-11-01,Rail,5192215.0108829,21,247248.33385157,Red Line
0,2018-01-01,Bus,6788939.0,21,323282.80952381,Bus
1,2018-01-01,Bus,635182.0,21,30246.761904762003,Silver Line
2,2018-01-01,Rail,1323203.9739732,21,63009.713046344004,Blue Line
3,2018-01-01,Rail,3141135.9373199,21,149577.90177714,Green Line
4,2018-01-01,Rail,3987313.4276043,21,189872.06798116,Orange Line
5,2018-01-01,Rail,4696089.5790313,21,223623.31328720003,Red Line
0,2019-05-01,Bus,7899993.0,22,359090.59090909,Bus
1,2019-05-01,Bus,865206.0,22,39327.545454545,Silver Line
2,2019-05-01,Rail,1661778.4794796002,22,75535.385430892,Blue Line
3,2019-05-01,Rail,3311065.6016364,22,150502.98189256,Green Line
4,2019-05-01,Rail,4654258.0741672,22,211557.18518942,Orange Line
5,2019-05-01,Rail,5524358.568308401,22,251107.20765038,Red Line
0,2016-12-01,Bus,7119231.0,21,339011.0,Bus
1,2016-12-01,Bus,666184.0,21,31723.047619047997,Silver Line
2,2016-12-01,Rail,1399861.3674767,21,66660.065117936,Blue Line
3,2016-12-01,Rail,3497594.2688852996,21,166552.10804216,Green Line
4,2016-12-01,Rail,4145175.3972881003,21,197389.30463277,Orange Line
5,2016-12-01,Rail,4944886.4742658,21,235470.78448885,Red Line
0,2016-02-01,Bus,7469019.0,20,373450.95,Bus
1,2016-02-01,Bus,730265.0,20,36513.25,Silver Line
2,2016-02-01,Rail,1220639.235535,20,61031.961776748,Blue Line
3,2016-02-01,Rail,3752288.5365029,20,187614.42682514,Green Line
4,2016-02-01,Rail,4379649.0899268,20,218982.45449634,Orange Line
5,2016-02-01,Rail,5132032.1399213,20,256601.60699607,Red Line
0,2018-04-01,Bus,7152514.0,21,340595.9047619,Bus
1,2018-04-01,Bus,745154.0,21,35483.523809524,Silver Line
2,2018-04-01,Rail,1546643.1379276002,21,73649.67323465,Blue Line
3,2018-04-01,Rail,3690104.1599323996,21,175719.24571107,Green Line
4,2018-04-01,Rail,4462364.9093559,21,212493.56711218,Orange Line
5,2018-04-01,Rail,5312420.9164915,21,252972.42459483,Red Line
0,2017-09-01,Bus,7348656.0,20,367432.8,Bus
1,2017-09-01,Bus,663795.0,20,33189.75,Silver Line
2,2017-09-01,Rail,1555248.9886791,20,77762.44943395599,Blue Line
3,2017-09-01,Rail,3789136.0009307,20,189456.80004653,Green Line
4,2017-09-01,Rail,4447504.5798525,20,222375.22899262,Orange Line
5,2017-09-01,Rail,5409746.173816401,20,270487.30869082,Red Line
0,2017-08-01,Bus,7518350.0,23,326884.7826087,Bus
1,2017-08-01,Bus,788707.0,23,34291.608695652,Silver Line
2,2017-08-01,Rail,1717781.6276623998,23,74686.15772445401,Blue Line
3,2017-08-01,Rail,3781642.1039048997,23,164419.22190891,Green Line
4,2017-08-01,Rail,4624184.168097099,23,201051.48556944,Orange Line
5,2017-08-01,Rail,5786162.9799888,23,251572.30347778,Red Line
0,2017-10-01,Bus,7990183.0,22,363190.13636364,Bus
1,2017-10-01,Bus,747703.0,22,33986.5,Silver Line
2,2017-10-01,Rail,1686438.9806098,22,76656.317300446,Blue Line
3,2017-10-01,Rail,3976259.3241722,22,180739.06018964,Green Line
4,2017-10-01,Rail,4872726.016454901,22,221487.5462025,Orange Line
5,2017-10-01,Rail,5898600.7122378,22,268118.21419263,Red Line
0,2016-03-01,Bus,8679363.0,23,377363.60869565,Bus
1,2016-03-01,Bus,901662.0,23,39202.695652174,Silver Line
2,2016-03-01,Rail,1510118.4141304,23,65657.322353494,Blue Line
3,2016-03-01,Rail,4387767.8074969,23,190772.51336943,Green Line
4,2016-03-01,Rail,5121815.808271,23,222687.64383787,Orange Line
5,2016-03-01,Rail,6047058.2463706,23,262915.57592916,Red Line
