service_date,Ave_Month_RE_overall,How would you rate the mbta overall?,Wait time at stop
2016-02,0.781771033158865,4.1678,3.7348
2016-03,0.763395815626131,4.1228,3.39
2016-04,0.806854330574919,4.4165,3.6777
2016-05,0.812263346500861,4.3533,3.5577
2016-06,0.809461455830833,4.1126,3.4027999997
2016-07,0.815754122931631,4.2524,3.6739
2016-08,0.823134963655933,4.2914,3.666
2016-09,0.82598060954874,4.1774,3.4139999996
2016-10,0.824028471783782,4.2722,3.4283
2016-11,0.819189733376316,4.1511,3.5386
2016-12,0.828300195538316,4.2486,3.6699
2017-01,0.84480596098815,4.278,3.4426
2017-02,0.845920984475229,4.2107,3.6715
2017-03,0.862083388072954,4.4532999997,3.548
2017-04,0.859182418067477,4.2209,3.3651
2017-05,0.849263984061556,4.1335999996,3.4694
2017-06,0.853521911607154,4.4311,3.3091
2017-07,0.850164125379598,4.2547,3.5157
2017-08,0.845973887259889,4.3763,3.5299
2017-09,0.846580843577253,3.8959,3.3716
2017-10,0.842959200227292,4.1242999995,3.3775
2017-11,0.842056916442573,4.0421,3.3952
2017-12,0.825351992433642,4.0155,3.2684
2018-01,0.81295740843237,3.8013,3.318
2018-02,0.849504728838649,4.0147,3.2877999997
2018-03,0.847495767527995,4.1067,3.6261
2018-04,0.861434034668243,4.2373,3.3725
2018-05,0.841217988497322,3.9566,3.3304
2018-06,0.832945696063244,4.1054,3.3762